id,name,age,salary,department,hire_date
1,Person_1,42.0,,HR,2020-01-05
2,Person_2,18.0,44397.0,,2020-01-12
3,Person_3,56.0,30728.0,Sales,2020-01-19
4,Person_4,22.0,96234.0,HR,2020-01-26
5,Person_5,20.0,,Sales,2020-02-02
6,Person_6,33.0,,Marketing,2020-02-09
7,Person_7,39.0,54466.0,IT,2020-02-16
8,Person_8,,,Marketing,2020-02-23
9,Person_9,22.0,81934.0,Marketing,2020-03-01
10,Person_10,,84098.0,,2020-03-08
11,Person_11,22.0,38335.0,IT,2020-03-15
12,Person_12,43.0,41130.0,Marketing,2020-03-22
13,Person_13,38.0,90566.0,Marketing,2020-03-29
14,Person_14,50.0,31062.0,IT,2020-04-05
15,Person_15,54.0,,IT,2020-04-12
16,Person_16,27.0,41174.0,Marketing,2020-04-19
17,Person_17,53.0,39348.0,IT,2020-04-26
18,Person_18,,36801.0,Marketing,2020-05-03
19,Person_19,36.0,78136.0,Marketing,2020-05-10
20,Person_20,18.0,74261.0,,2020-05-17
21,Person_21,62.0,,HR,2020-05-24
22,Person_22,41.0,69081.0,Marketing,2020-05-31
23,Person_23,19.0,49065.0,Sales,2020-06-07
24,Person_24,,,HR,2020-06-14
25,Person_25,44.0,84693.0,HR,2020-06-21
26,Person_26,29.0,43807.0,HR,2020-06-28
27,Person_27,50.0,87854.0,,2020-07-05
28,Person_28,60.0,31324.0,Marketing,2020-07-12
29,Person_29,20.0,65909.0,,2020-07-19
30,Person_30,57.0,64578.0,Marketing,2020-07-26
31,Person_31,61.0,56790.0,,2020-08-02
32,Person_32,29.0,85129.0,,2020-08-09
33,Person_33,19.0,45485.0,Sales,2020-08-16
34,Person_34,,34748.0,,2020-08-23
35,Person_35,40.0,33709.0,IT,2020-08-30
36,Person_36,,,Sales,2020-09-06
37,Person_37,43.0,,,2020-09-13
38,Person_38,51.0,,HR,2020-09-20
39,Person_39,24.0,82224.0,IT,2020-09-27
40,Person_40,62.0,91629.0,IT,2020-10-04
41,Person_41,53.0,58016.0,IT,2020-10-11
42,Person_42,53.0,,Sales,2020-10-18
43,Person_43,26.0,97641.0,,2020-10-25
44,Person_44,52.0,,,2020-11-01
45,Person_45,53.0,64620.0,HR,2020-11-08
46,Person_46,56.0,50559.0,HR,2020-11-15
47,Person_47,40.0,91642.0,IT,2020-11-22
48,Person_48,54.0,60354.0,HR,2020-11-29
49,Person_49,30.0,47640.0,Sales,2020-12-06
50,Person_50,52.0,82638.0,,2020-12-13
